name,id,phone_number,address,mode_of_payment,rating,web_url
 Singhal Brothers,65,,"  Near Ghanta Ghar, Neemuch, Neemuch HO, Neemuch - 458441    ",,0.0,https://www.justdial.com/neemuch/Singhal-Brothers-Neemuch-HO/9999P7423-7423-140319150250-C4X3_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Sapna Sarees,66,,"  Ahinsa Path, Pustak Bazar, Neemuch, Neemuch HO, Neemuch - 458441    ",,0.0,https://www.justdial.com/neemuch/Sapna-Sarees-Neemuch-HO/9999P7423-7423-140319165511-D6H9_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Kanhaiya Saree Sale,67,,"  Private Bus Stand Road, Neemuch, Neemuch HO, Neemuch - 458441    ",,0.0,https://www.justdial.com/neemuch/Kanhaiya-Saree-Sale-Neemuch-HO/9999P7423-7423-140224155024-I5A4_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Shrinath Vastralaya & Matching Centre,68,,"  L-5 Indira Nagar Ext., Mangalik Bhawan Road, Indira Nagar, Neemuch - 458441  ",,0.0,https://www.justdial.com/Neemuch/Shrinath-Vastralaya-Matching-Centre-Indira-Nagar/9999P7423-7423-110406123347-W5Z7_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Rajendra Suti Vastralya,69,,"  Naya Bazaar, Neemuch City, Neemuch, Neemuch City, Neemuch - 458441    ",,0.0,https://www.justdial.com/neemuch/Rajendra-Suti-Vastralya-Neemuch-City/9999P7423-7423-140313120116-S9C8_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Gaurav Collection,70,,"  Fateh Chowk, Baghana Neemuch, Neemuch, Baghana Neemuch, Neemuch - 458441    ",,0.0,https://www.justdial.com/neemuch/Gaurav-Collection-Baghana-Neemuch/9999P7423-7423-140320101544-Z8Y5_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Dosi Sarees,71,,"  Tilak Marg, Neemuch, Neemuch - 458441  ",,0.0,https://www.justdial.com/Neemuch/Dosi-Sarees/9999P7423-7423-110123050902-Z2T5_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Sasural Saree Show Room,72,,"  18, Tilak Marg, Neemuch, Neemuch - 458441, Opp. B.p.l. TV Showroom  ",,0.0,https://www.justdial.com/Neemuch/Sasural-Saree-Show-Room-Opp-B-p-l-TV-Showroom/9999P7423-7423-110124213450-W7X3_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Shagun Sarees,73,,"  Tilak Marg, Neemuch, Neemuch - 458441, Opp. Jaju Bhavan  ",,0.0,https://www.justdial.com/Neemuch/Shagun-Sarees-Opp-Jaju-Bhavan/9999P7423-7423-110124235140-E7H8_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Rajrani Saree Showroom,74,,"  Dana Gali, Neemuch, Neemuch - 458441  ","Cash,Cheques",0.0,https://www.justdial.com/Neemuch/Rajrani-Saree-Showroom/9999P7423-7423-110202151137-W3R7_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Bandan Saree,75,,"  Pustak Bazaar, Jhanjharwada, Neemuch - 458441  ",,0.0,https://www.justdial.com/Neemuch/Bandan-Saree/9999P7423-7423-190609125241-R6V1_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Neelam Saree Center,76,,"  Laxminath Chowk, Jawad, District- Neemuch, Jawad, Neemuch - 458330  ",,0.0,https://www.justdial.com/neemuch/Neelam-Saree-Center-Jawad/9999P7423-7423-140224180717-P1L7_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Mansi Saree Center,77,,"  Laxminath Chowk, Jawad, District- Neemuch, Jawad, Neemuch - 458330    ",,0.0,https://www.justdial.com/neemuch/Mansi-Saree-Center-Jawad/9999P7423-7423-140225121655-W3G8_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Astha Saree Center,78,,"  Shastri Market, Jawad, District- Neemuch, Jawad, Neemuch - 458330    ",Cash,0.0,https://www.justdial.com/neemuch/Astha-Saree-Center-Jawad/9999P7423-7423-140225115115-A6P8_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Anjali Saree & Kangan Store,79,,"  Ratangarh Road, Sarwania Maharaj, Tehsil- Jawad, District- Neemuch, Sarwania Maharaj, Neemuch - 458220    ",,0.0,https://www.justdial.com/neemuch/Anjali-Saree-Kangan-Store-Sarwania-Maharaj/9999P7423-7423-140223160633-S6I9_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Suhag Saree Center,80,,"  Bus Stand Road, Manasa, District- Neemuch, Manasa, Neemuch - 458110    ",,0.0,https://www.justdial.com/neemuch/Suhag-Saree-Center-Manasa/9999P7423-7423-140226175738-W8I9_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Saheli Saree Showroom,81,,"  Vivek Path, Neemuch, Neemuch HO, Neemuch - 458441    ",,4.3,https://www.justdial.com/neemuch/Saheli-Saree-Showroom-Neemuch-HO/9999P7423-7423-140404103422-N2X5_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Suruchi Fashion,82,,"  Hospital Road, Manasa, District- Neemuch, Manasa, Neemuch - 458110    ",,4.6,https://www.justdial.com/neemuch/Suruchi-Fashion-Manasa/9999P7423-7423-140228135531-E3B9_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
